louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,136,33,-0.17021276595744686,-0.1319148936170213,0.4535163857575926,5.88235294117647,22.794117647058822,71.32352941176471,33,24.264705882352942,0.20354974704479864,0.255888711920446
1,175,34,-0.09692307692307696,-0.1923076923076923,0.4434420160528699,10.285714285714285,10.285714285714285,79.42857142857143,23,13.142857142857142,-0.14983033814995525,0.3976842045802855
2,168,18,0.13571428571428581,0.2000000000000001,0.39824250342124873,30.357142857142854,4.166666666666666,65.47619047619048,10,5.952380952380952,0.45711838861574017,0.05649447600391799
3,320,34,-0.10705882352941176,-0.2470588235294117,0.5226174131500024,20.3125,30.312499999999996,49.375,26,8.125,0.04418719785165194,0.8040282876600924
4,32398,51,0.01710035220522526,0.0218577511433528,0.31517364928456365,8.080745725044757,3.376751651336502,88.54250262361874,3712,11.457497376381259,0.4803649785310909,0.00036040898716648137
5,2431,51,-0.022463768115942015,0.0569565217391304,0.3341984164739697,5.841217605923489,6.005758946935417,88.1530234471411,744,30.60468942821884,0.47968068767378097,0.0003684814833835139
6,1129,52,-0.024786324786324903,-0.0350427350427351,0.35658218916273676,8.237378210806023,9.21169176262179,82.55093002657219,339,30.026572187776797,0.16510337018184373,0.2421282554974648
7,3077,51,-0.03802120141342753,-0.1301766784452296,0.37911351300219487,11.959701007474813,13.5521611959701,74.4881377965551,785,25.511862203444913,0.11896630802279956,0.40569925638534016
13,129,19,0.03548387096774186,-0.167741935483871,0.5841489547202223,22.48062015503876,26.356589147286826,51.162790697674424,3,2.3255813953488373,-0.06692667630153055,0.7854478713519277
14,393,50,-0.08414634146341471,-0.0414634146341464,0.4563351890770973,10.687022900763358,25.954198473282442,63.358778625954194,119,30.279898218829516,0.2077158598538014,0.1477669336421617
15,270,47,-0.02962962962962963,0.0,0.4010347349025709,5.9259259259259265,6.296296296296296,87.77777777777777,33,12.222222222222221,-0.14387964224363003,0.3346146503983786
16,115,22,-0.07272727272727277,0.0454545454545454,0.5541586880394915,22.608695652173914,10.434782608695652,66.95652173913044,0,0.0,-0.2906259354301553,0.18947875561964747
17,126,28,0.05750000000000005,0.26,0.4498469739811528,19.047619047619047,10.317460317460316,70.63492063492063,9,7.142857142857142,-0.3983750244127712,0.03575508904824602
18,291,32,0.027272727272727306,-0.0079545454545454,0.4610355435780318,15.807560137457044,11.683848797250858,72.5085910652921,50,17.18213058419244,0.12378232209148844,0.49969941206776036
20,130,20,-0.1750000000000001,-0.5357142857142858,0.6042918862210304,11.538461538461538,50.76923076923077,37.69230769230769,3,2.307692307692308,-0.23070344331201081,0.32778245524849087
22,189,21,-0.04727272727272718,0.030909090909091,0.5370678261010916,12.16931216931217,22.22222222222222,65.60846560846561,36,19.047619047619047,0.2565070362000142,0.26169513061808686
23,111,30,0.014705882352941254,-0.0205882352941175,0.4114314923726808,9.90990990990991,11.711711711711711,78.37837837837837,15,13.513513513513514,0.11641959918166186,0.5401075182309423
25,284,40,0.01208791208791208,-0.0637362637362637,0.5977667497102015,23.943661971830984,18.661971830985916,57.3943661971831,29,10.211267605633804,0.2783020315960637,0.0820593304098067
