animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
4J6,7.15,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
3E4,11.99,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
8B3,13.09,3,NAc,old,0.7,0.05857843137254902,False,old_enriched
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
55R,14.97,3,NAc,old,0.7,0.05857843137254902,False,old_enriched
6O7,6.03,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
3K1,9.01,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
4J6,7.15,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
4J6,7.15,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,1.5499999999999998,0.0016666666666666668,True,old_enriched
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
3E4,11.99,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
6O7,6.03,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
3E4,11.99,3,NAc,old,0.7,0.05857843137254902,False,old_enriched
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
3E4,11.99,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
55R,14.97,3,NAc,old,-0.15000000000000002,0.5683333333333334,False,neutral
3K1,9.01,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
41N,16.74,3,NAc,old,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
41N,16.74,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
4Q6,3.22,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
41N,16.74,3,NAc,old,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
0G3,9.1,3,NAc,young,1.5499999999999998,0.0016666666666666668,True,old_enriched
41N,16.74,3,NAc,old,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
3E4,11.99,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
4Q6,3.22,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
55R,14.97,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
77V,16.15,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
2T6,5.18,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
82V,16.01,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
55R,14.97,3,NAc,old,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
4S3,3.18,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6L4,8.2,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
0G3,9.1,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
82V,16.01,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
0G3,9.1,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
82V,16.01,3,NAc,old,-0.15000000000000002,0.5683333333333334,False,neutral
6O7,6.03,3,NAc,young,-1.0,0.060588235294117644,False,young_enriched
4J6,7.15,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
82V,16.01,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
82V,16.01,3,NAc,old,0.7,0.05857843137254902,False,old_enriched
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
4J6,7.15,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
3E4,11.99,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8M0,8.12,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
8I6,9.9,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
1T9,4.11,3,NAc,young,1.5499999999999998,0.0016666666666666668,True,old_enriched
4S3,3.18,3,NAc,young,0.27499999999999997,0.43166666666666664,False,neutral
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
8I6,9.9,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
4J6,7.15,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
6O7,6.03,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
8M0,8.12,3,NAc,young,0.7,0.05857843137254902,False,old_enriched
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
4J6,7.15,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
41N,16.74,3,NAc,old,0.27499999999999997,0.43166666666666664,False,neutral
8M0,8.12,3,NAc,young,-0.5750000000000001,0.060588235294117644,False,young_enriched
6O7,6.03,3,NAc,young,-0.15000000000000002,0.5683333333333334,False,neutral
