louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,7540,52,0.0662091054678563,0.2075040036604895,0.4296766227017258,18.381962864721483,10.079575596816976,71.53846153846153,2146,28.46153846153846,0.8817327387405786,6.139722456486239e-18
1,1997,52,0.008717518860016642,0.0043587594300082,0.29346215677602366,6.71006509764647,2.9043565348022033,90.38557836755132,564,28.24236354531798,0.6365663519181461,3.925420364121372e-07
2,4709,52,0.022678434382194808,0.0841903300076744,0.3762641745385729,8.154597579103843,7.453811849649607,84.39159057124654,1281,27.20322786154173,0.8498027776132222,1.6311376303403031e-15
3,9251,52,0.005239752513534441,0.0732018561484919,0.4030145941212314,9.653010485352935,10.096205815587505,80.25078369905955,2977,32.180304831910064,0.837959338047925,9.38820775235393e-15
5,5829,52,0.0384493670886075,0.152887658227848,0.6740671306983168,29.45616743866872,30.43403671298679,40.10979584834449,2960,50.78057985932407,0.8927237733484245,6.126766398867987e-19
6,6829,52,0.0386857581181283,0.0476604448990027,0.39037685622192975,12.066188314540929,8.083174696148777,79.8506369893103,1859,27.22214086981988,0.854037421670018,8.40929917967292e-16
12,3566,52,0.04968152866242037,0.0483096521313081,0.3151073644780798,7.122826696578801,3.757711721817162,89.11946158160404,388,10.880538418395961,0.6972491727946791,9.316125475379024e-09
16,4266,51,0.00864963503649633,0.0898540145985401,0.27745497396182695,2.5785278949835915,6.024378809188936,91.39709329582747,684,16.033755274261605,0.8032625029592364,1.3148645145008038e-12
17,11934,52,0.04687641125997288,0.0778864970645792,0.5196579066607321,20.311714429361487,17.152673035025977,62.535612535612536,5248,43.975196916373385,0.8975420132347646,2.059044218408153e-19
18,13601,52,0.03313753032818274,0.042089132933214,0.33590676156567234,8.587603852657892,4.352621130799205,87.0597750165429,1760,12.9402249834571,0.8548223943350267,7.42043920236277e-16
19,2252,51,0.052875399361022375,0.0792332268370607,0.33361761303074944,7.104795737122557,3.818827708703375,89.07637655417406,695,30.86145648312611,0.7248471291390132,1.806939510942786e-09
20,9000,52,0.059397097134350436,0.0048381094157051,0.32891233084448757,12.988888888888889,3.7555555555555555,83.25555555555556,3048,33.86666666666667,0.8271500626360055,4.1210593532453364e-14
22,5503,52,0.03738040250742336,0.0893434510062686,0.3668588376455361,8.43176449209522,6.069416681809922,85.49881882609486,1463,26.585498818826093,0.7749983669443276,1.5494612106616708e-11
23,3911,52,0.0680254777070064,0.1625053078556263,0.27522892333253385,1.7386857581181283,4.806954743032472,93.4543594988494,1261,32.24239324980823,0.5797113922650537,6.683341151650322e-06
24,920,50,0.05592334494773525,0.1219512195121951,0.28456571106799056,3.260869565217391,4.891304347826087,91.84782608695652,173,18.804347826086957,0.5996466222173056,4.188448158710775e-06
26,6610,52,0.034196476241324006,0.0587293112653496,0.33145373072803247,7.685325264750379,4.417549167927383,87.89712556732225,800,12.102874432677762,0.8327026734537997,1.9529825977412492e-14
27,3983,52,0.07585290208241038,0.0588391670358884,0.3943381936011605,14.18528747175496,7.45669093648004,78.35802159176501,1466,36.8064273160934,0.8556349309915644,6.514116741053349e-16
28,3621,51,0.04089787863838197,0.0718302910705477,0.3831416012354818,8.423087544877106,8.174537420602043,83.40237503452084,1121,30.958298812482738,0.8012638607933282,1.6430410857240108e-12
29,6597,51,0.06858159633960334,0.1738434163701066,0.4053984194177507,20.29710474458087,8.094588449295134,71.608306806124,3025,45.85417614067,0.8974852095812521,4.777559326724006e-19
30,7325,52,0.0521205357142858,0.14453125,0.3516743988224214,5.1058020477815695,10.211604095563139,84.68259385665529,1745,23.822525597269625,0.8643982981822178,1.5166401608443543e-16
