louvain,n_cells,n_animals,mean_lochness,median_lochness,std_lochness,pct_old_enriched,pct_young_enriched,pct_neutral,n_significant,pct_significant,r_age,p_age
0,5586,46,0.01229729729729728,0.0064864864864864,0.46537040489486264,21.822413175796633,8.002148227712137,70.17543859649122,1000,17.901897601145723,0.41205399011705574,0.004435744943574334
1,224,31,-0.22368421052631587,-0.4105263157894737,0.6681453029900052,12.5,25.892857142857146,61.60714285714286,2,0.8928571428571428,0.30116474172665875,0.09968441080819437
2,7012,52,-0.035811227637260926,-0.1348550277606415,0.381253289953797,12.393040501996577,13.590986879634912,74.01597261836851,1161,16.557330290929833,0.6423181705810198,2.8522753802582337e-07
3,123,37,-0.07971014492753632,-0.1086956521739131,0.28081268590019215,2.4390243902439024,1.6260162601626018,95.9349593495935,22,17.88617886178862,0.24439134474414687,0.14490626161451978
4,5433,52,-0.022522881018702763,0.0809789096697174,0.35733970995299086,11.963924167126818,11.411743051720965,76.62433278115222,1270,23.37566721884778,0.5220824848329583,7.199118414575922e-05
5,3556,51,-0.06952440550688373,-0.1098873591989988,0.3965630917122394,9.67379077615298,17.1822272215973,73.14398200224971,555,15.607424071991002,0.6377596203485418,4.817867487554598e-07
6,7236,52,-0.05386185777475333,-0.0151752296699557,0.4734529663252414,9.176340519624102,25.870646766169152,64.95301271420675,2536,35.04698728579326,0.643488397516722,2.6706669530628674e-07
7,1742,52,0.04327990135635017,0.0739827373612823,0.34446194833637,15.614236509758896,6.8886337543053955,77.49712973593572,112,6.42939150401837,0.23732913110940976,0.0902460845493997
8,8469,52,-0.07459265396299358,-0.064457332228666,0.391833213297866,6.931160703743062,19.896091628291416,73.17274766796552,2272,26.82725233203448,0.6398216375439957,3.279015746711599e-07
11,199,41,-0.168421052631579,-0.3017543859649123,0.49558528064075963,7.537688442211055,28.643216080402013,63.81909547738693,62,31.155778894472363,0.051162719651008035,0.7507290439663568
12,514,52,0.07224334600760465,0.1726235741444867,0.352240204724201,11.478599221789883,5.058365758754864,83.46303501945526,118,22.957198443579767,0.20299164357816052,0.14894017166569087
13,129,41,0.00384615384615383,-0.0076923076923077,0.4135576811296119,10.852713178294573,16.27906976744186,72.86821705426357,26,20.155038759689923,0.47680582212370776,0.0016229172749082155
15,3417,52,-0.07538574577516531,0.0042615723732549,0.43570828863287353,15.393620134621013,9.686859818554288,74.9195200468247,531,15.539947322212466,0.3657429024412786,0.007667486447664338
16,1480,52,-0.03919107391910743,0.0320781032078102,0.3382938340342098,3.310810810810811,8.85135135135135,87.83783783783784,337,22.77027027027027,0.3068505903897195,0.026923784925486517
