louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,239,43,11.224071046025104,-0.05722724551757325,1.2755470616011704,0.2628,0.0887,0.2537,0.1007
1,685,39,13.34202463927007,0.0663857653230657,1.8934276430125672,0.6582,0.0,0.6744,0.0
2,4170,51,10.946161349400478,0.08331650064047244,1.276080743694772,0.7773,0.0,0.781,0.0
3,443,42,7.782471725959368,-0.1566363594085779,1.464230925103668,0.5407,0.0002,0.5393,0.0002
4,8703,51,11.172776478915317,0.16086056867537973,1.3413940205280506,0.9217,0.0,0.9202,0.0
6,3299,51,11.669539542043044,0.023727046845850256,1.5696761794850802,0.8385,0.0,0.8364,0.0
7,251,49,11.921035662948206,0.007834012440637438,1.461804335871899,0.1953,0.1786,0.1792,0.2179
9,3156,50,10.96044510072877,-0.016884694718307988,1.2245324347181807,0.8725,0.0,0.8733,0.0
10,12507,51,10.85771031191333,0.10023812349019509,1.6100197111093157,0.9549,0.0,0.9553,0.0
11,3033,50,12.929549586350147,-0.01646096584570887,1.642303176401822,0.7111,0.0,0.7187,0.0
12,5803,51,10.91374853941065,0.11791717398240566,1.299505565904816,0.8631,0.0,0.868,0.0
13,15482,51,11.29987578709469,0.08538571228431534,1.7483192596551387,0.9357,0.0,0.936,0.0
14,1178,51,9.741622268760612,0.057824159167487274,1.4054292690434842,0.7088,0.0,0.7089,0.0
15,12011,51,10.748194901581881,0.0705912821094655,1.549837953309781,0.9532,0.0,0.9529,0.0
16,15455,51,11.007515745169849,0.05991249725652152,1.661375641955261,0.9507,0.0,0.9512,0.0
17,9801,51,10.714725304887256,0.06006280012729416,1.199629224715631,0.8495,0.0,0.8491,0.0
